model,corruption,severity,roc_auc,delta,f1
lesion_mil,none,0.0,0.9449115894676148,0.0,0.865021770682148
lesion_mil,blur,0.5,0.9403228906400154,-0.00458869882759938,0.8524590163934427
lesion_mil,blur,1.0,0.9363788519443911,-0.008532737523223699,0.8562962962962964
lesion_mil,noise,0.5,0.9418604651162791,-0.003051124351335699,0.8541973490427099
lesion_mil,noise,1.0,0.9400626241271061,-0.004848965340508715,0.8533724340175952
lesion_mil,contrast,0.5,0.9432458837849957,-0.0016657056826190342,0.8554572271386431
lesion_mil,contrast,1.0,0.93982237811519,-0.005089211352424794,0.8495575221238938
lesion_mil,occlusion,0.5,0.9424010186430906,-0.0025105708245242164,0.8596237337192475
lesion_mil,occlusion,1.0,0.9395300788006917,-0.005381510666923051,0.8640915593705293
lesion_mil,downres,0.5,0.9371796719841118,-0.0077319174835029925,0.8583450210378681
lesion_mil,downres,1.0,0.9352136587865975,-0.00969793068101732,0.851904090267983
mr_mil,none,0.0,0.9935934396822346,0.0,0.9565217391304347
mr_mil,blur,0.5,0.9934933371772695,-0.00010010250496506057,0.9553571428571428
mr_mil,blur,1.0,0.9929367672496637,-0.0006566724325708373,0.9598811292719168
mr_mil,noise,0.5,0.9934492920750849,-0.00014414760714964725,0.9470499243570348
mr_mil,noise,1.0,0.9929647959510538,-0.0006286437311807669,0.9438543247344462
mr_mil,contrast,0.5,0.9937536036901788,0.00016016400794427454,0.9597615499254845
mr_mil,contrast,1.0,0.9944302966237427,0.0008368569415081462,0.9644970414201183
mr_mil,occlusion,0.5,0.9939377922993146,0.00034435261707999043,0.9535232383808095
mr_mil,occlusion,1.0,0.994346210519572,0.0007527708373373798,0.96274217585693
mr_mil,downres,0.5,0.9927085335383432,-0.0008849061438913619,0.9611940298507463
mr_mil,downres,1.0,0.9938016528925618,0.00020821321032726825,0.9597615499254845
der_mil,none,0.0,0.9915313280799538,0.0,0.948948948948949
der_mil,blur,0.5,0.9897895444935614,-0.0017417835863924314,0.953662182361734
der_mil,blur,1.0,0.9897775321929656,-0.0017537958869882075,0.9491017964071856
der_mil,noise,0.5,0.9911909795630727,-0.0003403485168811393,0.9457831325301204
der_mil,noise,1.0,0.9904261964251393,-0.0011051316548145174,0.9475262368815591
der_mil,contrast,0.5,0.9914352296751874,-9.60984047664315e-05,0.9569093610698366
der_mil,contrast,1.0,0.9902460119162021,-0.0012853161637517152,0.9548762736535662
der_mil,occlusion,0.5,0.9909106925491703,-0.0006206355307835087,0.9552238805970149
der_mil,occlusion,1.0,0.9897495034915754,-0.001781824588378389,0.9553571428571428
der_mil,downres,0.5,0.9885322570312,-0.002999071048753854,0.9417040358744394
der_mil,downres,1.0,0.9887244538407329,-0.00280687423922088,0.9446935724962631
